# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:44|1|00:00:44] - [00:25:00|151|21.0%] - V: Maximum_Iterations_Exceeded. 
[00:01:37|1|00:01:37] - [00:29:00|175|24.3%] - V: Maximum_Iterations_Exceeded. 
[00:01:37|1|00:01:37] - [00:29:50|180|25.0%] - RL update with 27 samples (v_free=129.957, rho_crit=25.386)
[00:02:28|1|00:02:28] - [00:35:00|211|29.3%] - V: Maximum_Iterations_Exceeded. 
[00:03:35|1|00:03:35] - [00:36:00|217|30.1%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:04:41|1|00:04:41] - [00:37:00|223|31.0%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:05:49|1|00:05:49] - [00:38:00|229|31.8%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:07:00|1|00:07:00] - [00:39:00|235|32.6%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:08:10|1|00:08:09] - [00:40:00|241|33.5%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:09:13|1|00:09:12] - [00:41:00|247|34.3%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:09:44|1|00:09:44] - [00:42:00|253|35.1%] - V: Maximum_Iterations_Exceeded. 
[00:09:48|1|00:09:48] - [00:59:50|360|50.0%] - RL update with 49 samples (v_free=129.985, rho_crit=24.758)
[00:10:35|1|00:10:35] - [01:08:00|409|56.8%] - V: Maximum_Iterations_Exceeded. 
[00:10:42|1|00:10:42] - [01:09:00|415|57.6%] - V: Infeasible_Problem_Detected. 
[00:11:13|1|00:11:13] - [01:10:00|421|58.5%] - Q: Maximum_Iterations_Exceeded.
[00:11:21|1|00:11:21] - [01:29:50|540|75.0%] - RL update with 76 samples (v_free=130.004, rho_crit=24.354)
[00:11:35|1|00:11:35] - [01:59:50|720|100.0%] - RL update with 106 samples (v_free=130.017, rho_crit=24.064)
[00:11:35|1|00:11:35] - [01:59:50|720|100.0%] - episode 1 terminated: TTS=400.1636
[00:12:35|2|00:01:00] - [00:21:00|127|17.6%] - V: Maximum_Iterations_Exceeded. 
[00:14:12|2|00:02:37] - [00:22:00|133|18.5%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:15:24|2|00:03:49] - [00:23:00|139|19.3%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:16:02|2|00:04:26] - [00:24:00|145|20.1%] - V: Maximum_Iterations_Exceeded. 
[00:17:09|2|00:05:34] - [00:25:00|151|21.0%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:17:45|2|00:06:10] - [00:26:00|157|21.8%] - V: Maximum_Iterations_Exceeded. 
[00:18:24|2|00:06:49] - [00:27:00|163|22.6%] - V: Maximum_Iterations_Exceeded. 
[00:19:07|2|00:07:31] - [00:28:00|169|23.5%] - V: Maximum_Iterations_Exceeded. 
[00:19:17|2|00:07:42] - [00:29:50|180|25.0%] - RL update with 128 samples (v_free=130.044, rho_crit=23.912)
[00:20:15|2|00:08:40] - [00:35:00|211|29.3%] - V: Maximum_Iterations_Exceeded. 
[00:21:21|2|00:09:46] - [00:36:00|217|30.1%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:22:29|2|00:10:53] - [00:37:00|223|31.0%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:23:35|2|00:12:00] - [00:38:00|229|31.8%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:24:42|2|00:13:07] - [00:39:00|235|32.6%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:25:47|2|00:14:12] - [00:40:00|241|33.5%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:26:54|2|00:15:18] - [00:41:00|247|34.3%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:27:54|2|00:16:19] - [00:42:00|253|35.1%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:27:59|2|00:16:24] - [00:59:50|360|50.0%] - RL update with 150 samples (v_free=130.113, rho_crit=24.024)
[00:28:22|2|00:16:47] - [01:29:50|540|75.0%] - RL update with 180 samples (v_free=130.170, rho_crit=24.119)
[00:28:36|2|00:17:00] - [01:59:50|720|100.0%] - RL update with 210 samples (v_free=130.220, rho_crit=24.200)
[00:28:36|2|00:17:00] - [01:59:50|720|100.0%] - episode 2 terminated: TTS=423.3679
[00:29:28|3|00:00:52] - [00:20:00|121|16.8%] - V: Maximum_Iterations_Exceeded. 
[00:30:12|3|00:01:36] - [00:21:00|127|17.6%] - V: Maximum_Iterations_Exceeded. 
[00:31:52|3|00:03:16] - [00:22:00|133|18.5%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:33:08|3|00:04:32] - [00:23:00|139|19.3%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:34:16|3|00:05:40] - [00:24:00|145|20.1%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:35:01|3|00:06:25] - [00:25:00|151|21.0%] - V: Maximum_Iterations_Exceeded. 
[00:36:12|3|00:07:36] - [00:27:00|163|22.6%] - V: Maximum_Iterations_Exceeded. 
[00:36:53|3|00:08:17] - [00:28:00|169|23.5%] - V: Maximum_Iterations_Exceeded. 
[00:37:03|3|00:08:27] - [00:29:50|180|25.0%] - RL update with 232 samples (v_free=130.276, rho_crit=24.329)
[00:38:07|3|00:09:31] - [00:35:00|211|29.3%] - V: Maximum_Iterations_Exceeded. 
[00:38:44|3|00:10:07] - [00:36:00|217|30.1%] - V: Maximum_Iterations_Exceeded. 
[00:39:53|3|00:11:17] - [00:37:00|223|31.0%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:40:31|3|00:11:55] - [00:38:00|229|31.8%] - V: Maximum_Iterations_Exceeded. 
[00:48:11|3|00:19:35] - [00:39:00|235|32.6%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:49:17|3|00:20:41] - [00:40:00|241|33.5%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:50:19|3|00:21:43] - [00:41:00|247|34.3%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:50:54|3|00:22:18] - [00:42:00|253|35.1%] - V: Maximum_Iterations_Exceeded. 
[00:50:58|3|00:22:22] - [00:59:50|360|50.0%] - RL update with 254 samples (v_free=130.359, rho_crit=24.610)
[00:51:25|3|00:22:49] - [01:29:50|540|75.0%] - RL update with 270 samples (v_free=130.437, rho_crit=24.875)
[00:51:41|3|00:23:05] - [01:59:50|720|100.0%] - RL update with 270 samples (v_free=130.506, rho_crit=25.152)
[00:51:41|3|00:23:05] - [01:59:50|720|100.0%] - episode 3 terminated: TTS=430.8903
[00:52:33|4|00:00:51] - [00:20:00|121|16.8%] - V: Maximum_Iterations_Exceeded. 
