# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:15|1|00:00:15] - [00:29:50|180|20.0%] - RL update 1 with 29 samples: v_free=142.799, rho_crit=46.901, v_free_tracking=142.801, weight_V=[1.000 1.000 1.001 1.001 1.001 1.003 1.003 1.003], weight_L=[1.009 1.009 1.006 1.001 1.003 1.004], weight_T=[1.000 1.000 1.000], weight_slack=10.000, 
[00:00:25|1|00:00:25] - [00:38:00|229|25.4%] - V: Maximum_Iterations_Exceeded. 
[00:00:32|1|00:00:32] - [00:39:00|235|26.1%] - Q: Maximum_Iterations_Exceeded.
[00:00:37|1|00:00:37] - [00:59:50|360|40.0%] - RL update 2 with 57 samples: v_free=142.787, rho_crit=46.838, v_free_tracking=142.812, weight_V=[1.023 1.018 1.007 1.008 1.009 1.009 1.007 1.007], weight_L=[1.038 1.030 1.021 1.103 1.124 1.183], weight_T=[1.001 1.001 1.001], weight_slack=10.000, 
[00:00:44|1|00:00:44] - [01:00:00|361|40.1%] - V: Maximum_Iterations_Exceeded. 
[00:00:51|1|00:00:51] - [01:01:00|367|40.8%] - Q: Maximum_Iterations_Exceeded.
[00:01:04|1|00:01:04] - [01:29:50|540|60.0%] - RL update 3 with 85 samples: v_free=142.781, rho_crit=46.797, v_free_tracking=142.818, weight_V=[1.009 1.029 1.010 1.011 1.013 1.012 1.008 1.008], weight_L=[1.050 1.038 1.026 1.157 1.193 1.292], weight_T=[1.001 1.001 1.001], weight_slack=10.000, 
[00:01:25|1|00:01:25] - [01:59:50|720|80.0%] - RL update 4 with 115 samples: v_free=142.776, rho_crit=46.767, v_free_tracking=142.822, weight_V=[0.999 1.037 1.012 1.013 1.016 1.013 1.009 1.008], weight_L=[1.059 1.043 1.030 1.198 1.245 1.373], weight_T=[1.002 1.002 1.001], weight_slack=10.000, 
[00:01:42|1|00:01:42] - [02:29:50|900|100.0%] - RL update 5 with 145 samples: v_free=142.772, rho_crit=46.743, v_free_tracking=142.825, weight_V=[0.990 1.043 1.014 1.015 1.018 1.015 1.010 1.009], weight_L=[1.066 1.048 1.033 1.230 1.286 1.437], weight_T=[1.002 1.002 1.001], weight_slack=10.000, 
[00:01:42|1|00:01:42] - [02:29:50|900|100.0%] - checkpoint saved
[00:01:42|1|00:01:42] - [02:29:50|900|100.0%] - episode 1 terminated: TTS=608.5700
[00:01:58|2|00:00:15] - [00:29:50|180|20.0%] - RL update 6 with 175 samples: v_free=142.769, rho_crit=46.724, v_free_tracking=142.828, weight_V=[0.983 1.048 1.015 1.017 1.020 1.017 1.011 1.010], weight_L=[1.074 1.053 1.037 1.256 1.320 1.491], weight_T=[1.002 1.002 1.001], weight_slack=10.000, 
[00:02:07|2|00:00:25] - [00:37:00|223|24.8%] - V: Maximum_Iterations_Exceeded. 
[00:02:21|2|00:00:39] - [00:38:00|229|25.4%] - V: Maximum_Iterations_Exceeded. Q: Maximum_Iterations_Exceeded.
[00:02:28|2|00:00:46] - [00:39:00|235|26.1%] - Q: Maximum_Iterations_Exceeded.
