# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:01:28|1|00:01:28] - [02:29:50|900|100.0%] - checkpoint saved
[00:01:28|1|00:01:28] - [02:29:50|900|100.0%] - episode 1 terminated: TTS=522.7410
[00:02:38|2|00:01:09] - [02:05:00|751|83.4%] - Q: Restoration_Failed.
[00:02:47|2|00:01:18] - [02:29:50|900|100.0%] - episode 2 terminated: TTS=523.4235
[00:03:10|3|00:00:22] - [00:29:50|180|20.0%] - RL update 1 with 180 samples: v_free=142.796, rho_crit=46.888, v_free_tracking=142.804, weight_V=[1.002 1.005 1.002 1.002 1.002 1.002 1.002 1.002], weight_L=[1.010 1.006 1.004 1.035 1.036 1.043], weight_T=[1.000 1.000 1.000], weight_slack=10.000, 
[00:03:24|3|00:00:36] - [00:59:50|360|40.0%] - RL update 2 with 180 samples: v_free=142.792, rho_crit=46.873, v_free_tracking=142.808, weight_V=[1.006 1.010 1.005 1.005 1.005 1.004 1.004 1.003], weight_L=[1.022 1.013 1.009 1.076 1.078 1.093], weight_T=[1.001 1.000 1.000], weight_slack=10.001, 
[00:03:34|3|00:00:47] - [01:29:50|540|60.0%] - RL update 3 with 180 samples: v_free=142.787, rho_crit=46.855, v_free_tracking=142.812, weight_V=[1.010 1.017 1.008 1.009 1.008 1.006 1.005 1.005], weight_L=[1.033 1.020 1.013 1.124 1.127 1.149], weight_T=[1.001 1.001 1.001], weight_slack=10.001, 
[00:03:57|3|00:01:10] - [01:56:00|697|77.4%] - Q: Infeasible_Problem_Detected.
[00:03:58|3|00:01:11] - [01:59:50|720|80.0%] - RL update 4 with 180 samples: v_free=142.782, rho_crit=46.837, v_free_tracking=142.817, weight_V=[1.013 1.023 1.011 1.012 1.010 1.008 1.007 1.007], weight_L=[1.045 1.027 1.017 1.171 1.175 1.206], weight_T=[1.001 1.001 1.001], weight_slack=10.001, 
[00:04:18|3|00:01:30] - [02:29:50|900|100.0%] - RL update 5 with 180 samples: v_free=142.780, rho_crit=46.832, v_free_tracking=142.819, weight_V=[1.011 1.024 1.012 1.013 1.012 1.009 1.008 1.008], weight_L=[1.051 1.031 1.020 1.189 1.194 1.229], weight_T=[1.001 1.001 1.001], weight_slack=10.001, 
[00:04:18|3|00:01:30] - [02:29:50|900|100.0%] - checkpoint saved
[00:04:18|3|00:01:30] - [02:29:50|900|100.0%] - episode 3 terminated: TTS=522.8984
[00:04:41|4|00:00:22] - [00:29:50|180|20.0%] - RL update 6 with 180 samples: v_free=142.777, rho_crit=46.822, v_free_tracking=142.821, weight_V=[1.011 1.028 1.014 1.015 1.013 1.011 1.010 1.009], weight_L=[1.059 1.036 1.023 1.215 1.222 1.264], weight_T=[1.002 1.001 1.001], weight_slack=10.001, 
